"","logFC","logCPM","LR","PValue","PAdju_BH","PAdju_bonf"
"Mcavernosa04235",2.48111878642211,4.09168802932928,2.70234445529996,0.100200803569985,0.362877913097968,1
"Mcavernosa04236",2.89346182693083e-05,1.3934193158872,6.99490654287871e-06,0.997889766499157,1,1
"Mcavernosa04237",2.43164613124888,1.35049241752493,3.1982153124574,0.0737186746390807,0.326105977168226,1
"Mcavernosa04238",2.3909509762815,1.32970555497153,3.18160936244403,0.0744713473188407,0.326480194072906,1
"Mcavernosa04239",0.544310273060933,2.19412386516274,0.157563309269856,0.691409899078618,0.863990387321157,1
"Mcavernosa04241",-2.19897244796549,3.37400733867826,2.54468580801465,0.110665923444667,0.380394153655105,1
"Mcavernosa04242",0.477043031015918,1.33427633778724,0.0607480311789894,0.805317529328586,0.942041378279516,1
"Mcavernosa04247",1.45256937240755,1.19694675622199,1.76382056922632,0.184148684887575,0.435194103533493,1
"Mcavernosa04248",4.76875600580973,2.10522787121301,5.4072778373512,0.0200529630685103,0.226849050254924,1
"Mcavernosa04249",3.05375672193532,3.40014803282374,1.82689676820271,0.176494523914049,0.435194103533493,1
"Mcavernosa04250",2.63225026735383,1.39609892913976,3.45841529495745,0.0629306004270828,0.30963022185927,1
"Mcavernosa04252",-1.80562329128624,5.54574455136243,1.68550988966697,0.194193923644529,0.44198133009086,1
"Mcavernosa04253",-1.89904413636411,3.48684392937829,2.37060798244679,0.12363889062886,0.402906211586185,1
"Mcavernosa04255",1.89480930270891,8.47887485270186,1.6035879759155,0.205395482504158,0.456586832261941,1
"Mcavernosa04256",-0.894457823409812,1.15460339805328,0.650278852990489,0.420012999983938,0.65924156620733,1
"Mcavernosa04257",-3.12074687042433,3.8188369822623,3.58839186236687,0.0581845227064989,0.30213945592551,1
"Mcavernosa04258",0.981572958542901,1.36287873048132,0.447495019762894,0.503526936198006,0.72172526319808,1
"Mcavernosa04259",6.21921899158519,3.05505808594572,6.45736415680862,0.011049342923331,0.193450325428116,1
"Mcavernosa04260",-0.0211275979469876,1.82145195678563,4.24489864547795e-05,0.994801588538859,1,1
"Mcavernosa04263",-1.15649916217819,1.49177527428163,0.36977072848805,0.543129267273462,0.753509426981722,1
"Mcavernosa04264",-1.32280709237796,1.17521670272896,1.0789325932828,0.298936464908705,0.551124831511127,1
"Mcavernosa04265",-4.12817877821957,7.36162442887164,9.04279263366866,0.00263732465342876,0.145651167950232,1
"Mcavernosa04266",-2.99717033263478,4.60635618612418,4.34845465281431,0.0370425437197102,0.267900205814112,1
"Mcavernosa04267",0.966220221050975,8.27836399146041,0.457452675597954,0.498816881038119,0.717628365666715,1
"Mcavernosa04270",2.15685784169432,1.47635223088271,1.75059492178926,0.185801959891878,0.435977853359778,1
"Mcavernosa04271",-2.05433472343204,3.18430212923832,1.35673055032548,0.244104910375261,0.500743337822908,1
"Mcavernosa04272",5.37386117563129,5.09058666182544,4.56505205205324,0.0326306826530714,0.2599250313667,1
"Mcavernosa04274",-4.54688550829381,2.52250051219878,6.22009569738437,0.012630828555317,0.196334656416077,1
"Mcavernosa04276",-1.55961483347847,1.62716779335444,0.35267754330522,0.552601337207202,0.761006928220734,1
"Mcavernosa04278",3.99087652291921,5.75892337154976,3.74701011721115,0.0529020605854861,0.298026265732315,1
"Mcavernosa04279",5.87849186818685,2.80869980403441,5.12685476223664,0.0235583804974617,0.237091093670138,1
"Mcavernosa04280",-3.45093903782612,1.93346772700017,3.67461221898931,0.0552471037847858,0.301194541939725,1
"Mcavernosa04281",-2.81747144419371,2.61617816391292,2.57264852376504,0.10872556071836,0.376687157889136,1
"Mcavernosa04282",-2.09557180685954,2.99827899869414,2.6531569765122,0.103344474476501,0.367740107186447,1
"Mcavernosa04283",1.84678202811469,1.28429390667115,2.07927328527982,0.149311247398937,0.422082814682325,1
"Mcavernosa04284",-0.825336402953211,1.1499954575363,0.613967321447774,0.433297941933232,0.65924156620733,1
"Mcavernosa04285",2.80664696977915,1.38029254770159,4.08218228342409,0.0433376527169315,0.279751960156585,1
"Mcavernosa04287",7.60792553761731,6.27922978704876,9.0392790112414,0.00264239829925568,0.145651167950232,1
"Mcavernosa04288",-1.85074295617905,2.14175029707238,1.01642745634948,0.313367927987415,0.566450439378363,1
"Mcavernosa04289",-2.01547130046318,6.59238010704939,1.33423019101145,0.24805405443287,0.504149292431241,1
"Mcavernosa04290",-0.142235470096486,1.84715688769535,0.00994338244262316,0.920569392485776,1,1
"Mcavernosa04292",0.94234537668113,1.70925375457962,0.243948658086587,0.621368619417422,0.814659120036219,1
"Mcavernosa04294",-0.321648522623647,2.5192290000553,0.0492563055829098,0.824362446997693,0.9552392674884,1
"Mcavernosa04297",-1.3560336736247,5.43082452618795,0.666135384268642,0.414402241463419,0.65924156620733,1
"Mcavernosa04298",0.947711220226101,7.93770925922777,0.460242439524215,0.497510690549179,0.71676572107475,1
"Mcavernosa04299",2.57151083893247,8.44138089040449,3.60562093378038,0.0575845607431248,0.301749930190448,1
"Mcavernosa04301",0.62847490505808,1.52947463106655,0.240814012085105,0.623618809596357,0.815186937820684,1
"Mcavernosa04302",0.220108213384454,12.321956767533,0.216736813485646,0.641537631080827,0.82906520525766,1
"Mcavernosa04305",-0.19983781187131,1.73024148006195,0.0144151167126809,0.904433265978782,1,1
"Mcavernosa04308",3.10645604825838,1.47465084722614,4.45631859170101,0.0347723608914338,0.263505815934423,1
"Mcavernosa04310",-2.2476619097573,6.28534439544383,3.14870976630968,0.0759870241727226,0.329399217738007,1
"Mcavernosa04312",-8.22206690660887,6.98541890103003,27.2002646743732,1.83433561291571e-07,0.000983295605303465,0.00393318242121386
"Mcavernosa04313",1.84678202811469,1.28429390667115,2.07927328527982,0.149311247398937,0.422082814682325,1
"Mcavernosa04314",0.659796157599675,9.10514882067775,0.314898379898629,0.57468978393588,0.77808286589336,1
"Mcavernosa04315",0.83674843057534,6.0791884022399,0.401789836492563,0.526166355516709,0.741362793730404,1
"Mcavernosa04316",3.57173833607882,6.51212256139098,3.68612839899695,0.054866834233818,0.300806612028005,1
"Mcavernosa04318",2.83755645034339,1.38941474019369,4.12094307109071,0.0423554609545166,0.278711464906058,1
"Mcavernosa04320",-2.49853246586673,3.50253280327897,4.1823676541814,0.0408465994086969,0.275939755677781,1
"Mcavernosa04321",-1.90212301067086,2.14953373370494,1.69359529707825,0.193127707169374,0.440853096262485,1
"Mcavernosa04322",0.893241467241158,6.45232140415342,0.293386649560063,0.588058414643843,0.78695372786213,1
"Mcavernosa04323",5.24964617324639,2.40350018746066,3.53111408924284,0.0602273065616701,0.306380523676235,1
"Mcavernosa04324",-2.74228182748402,2.62880139493034,1.31725249706025,0.251085737430092,0.507520775073155,1
"Mcavernosa04325",7.19128776380276,6.45515825286898,4.16568643552979,0.0412506947408513,0.277532913910679,1
"Mcavernosa04327",-1.8015440022108,5.80109316364303,2.25698359061348,0.133012921599162,0.419616295367134,1
"Mcavernosa04328",-1.91193563059342,1.48089895755429,0.642036511256599,0.422974307682275,0.65924156620733,1
"Mcavernosa04329",0,1.12422133588168,0,1,1,1
"Mcavernosa04330",1.84678202811469,1.28429390667115,2.07927328527982,0.149311247398937,0.422082814682325,1
"Mcavernosa04331",-2.45899784324861,2.98128374181377,3.41215030840629,0.0647180625944869,0.312823421584984,1
"Mcavernosa04332",0.696735113728705,4.75828098676617,0.158426389895066,0.690609452645333,0.863191365993659,1
"Mcavernosa04333",-1.9613547141639,1.22384953518563,1.80038301036372,0.179666197690233,0.435194103533493,1
"Mcavernosa04334",2.52180068896188,7.3222021894503,1.56524403950883,0.210899040946734,0.463519601883955,1
"Mcavernosa04335",-1.65491921951007,3.50816832462126,0.907267812283733,0.340840389289193,0.597132088172144,1
"Mcavernosa04336",1.56709589863702,1.56136238359748,1.18091482170244,0.277169834722994,0.534305097197737,1
"Mcavernosa04337",-4.08908485499741,4.41651598170782,9.55503592557423,0.00199401610323264,0.13283918334878,1
"Mcavernosa04339",-0.30983759355916,3.04266401552386,0.0444823477187821,0.832958759432608,0.96038617625176,1
"Mcavernosa04342",-3.01821773608728,1.36940201695212,3.2121837411411,0.0730918709512826,0.326105977168226,1
"Mcavernosa04343",2.3623598248018,6.43637940451167,1.63070491822448,0.201605576183099,0.451423012167712,1
"Mcavernosa04344",-1.28456416212531,1.1939928202945,0.848974722140765,0.356842545769087,0.609431928823637,1
"Mcavernosa04346",-1.92227556585644,1.72151876595173,0.546213078849035,0.459869169781054,0.683128487060843,1
"Mcavernosa04347",1.62830803106507,6.32560554581395,0.913787008808304,0.339111606532169,0.595221927575537,1
"Mcavernosa04348",2.3402764545685,6.53901650684678,1.81394708128209,0.178035464828193,0.435194103533493,1
"Mcavernosa04350",3.95482956841426,1.73541626562294,4.83816042683081,0.0278365742705969,0.252075058124096,1
"Mcavernosa04351",0.467824549595648,6.28492676223272,0.119402006284387,0.729683968990815,0.89033651983731,1
"Mcavernosa04353",4.31493511294838,7.66731724796198,2.59568568009955,0.107155056092445,0.373628566085111,1
"Mcavernosa04354",-2.07406048072944,7.77286883662315,1.34620451079323,0.245942746887225,0.501960621821012,1
"Mcavernosa04355",2.42961780879132,6.41656087688964,2.2443025510328,0.134107362922743,0.421865581525255,1
"Mcavernosa04357",1.65355769999945,4.04753510528495,0.735381309808345,0.391144438256029,0.640933681825532,1
"Mcavernosa04358",1.19784961083229,1.63026512454618,0.287084030173044,0.592095240508095,0.790369554066773,1
"Mcavernosa04359",-5.79883973852386,8.17094785267099,14.123189703823,0.000171219920896778,0.0533666445018391,1
"Mcavernosa04360",-1.21295137055351,5.80179716256664,0.728114551288108,0.393495019296969,0.642652435841361,1
"Mcavernosa04362",-2.36692072834132,1.8752628008526,1.14753342790944,0.284066085374732,0.541321098702898,1
"Mcavernosa04364",5.56756989666718,4.75409091211493,4.90830711358193,0.0267278244926453,0.246955605115362,1
"Mcavernosa04365",-0.963157519425331,3.3224670906834,0.492855144918435,0.482656446624613,0.703787664631972,1
"Mcavernosa04366",3.9889774049638,4.13635334182091,3.23670519896034,0.0720053080502975,0.324902738891936,1
"Mcavernosa04367",0,1.12422133588168,0,1,1,1
"Mcavernosa04369",0,1.12422133588168,0,1,1,1
