"","logFC","logCPM","LR","PValue","PAdju_BH","PAdju_bonf"
"Mcavernosa04235",7.73450368105373,3.80858193849856,2.16458637966081,0.141222617828612,0.662018682158408,1
"Mcavernosa04236",2.98295147858596,0.746304612710989,0.45736984082847,0.498855753649527,0.851751293937918,1
"Mcavernosa04237",1.57213238837389,0.459222697792167,0.162680928538024,0.686700150093498,0.851751293937918,1
"Mcavernosa04238",0,0.346692925437365,0,1,1,1
"Mcavernosa04239",5.2214990326643,1.80899134662377,0.858046632199781,0.354285905578052,0.851751293937918,1
"Mcavernosa04241",3.71996700830961,1.02839289077211,0.428281413176123,0.512833439699544,0.851751293937918,1
"Mcavernosa04242",1.57213238837389,0.459222697792167,0.162680928538024,0.686700150093498,0.851751293937918,1
"Mcavernosa04247",1.57213238837389,0.459222697792167,0.162680928538024,0.686700150093498,0.851751293937918,1
"Mcavernosa04248",5.94746342684539,2.31169123090207,1.18307331347362,0.27673121700996,0.851751293937918,1
"Mcavernosa04249",0.121942603141206,1.68268383197172,0.00105184357015053,0.974127433606971,1,1
"Mcavernosa04250",0,0.346692925437365,0,1,1,1
"Mcavernosa04252",5.69587899859675,6.22824474529365,5.98761245489191,0.0144066890968509,0.21129153735614,1
"Mcavernosa04253",2.52153175862754,4.71678547016744,1.05570389594561,0.304197075877474,0.851751293937918,1
"Mcavernosa04255",3.79077796937579,7.28070402312511,4.6872950118494,0.0303864470557444,0.32664718064371,1
"Mcavernosa04256",5.8215416984016,2.22318916340724,0.986870829162412,0.320508375671382,0.851751293937918,1
"Mcavernosa04257",1.60410079760272,3.40327401289514,0.230063983427605,0.631476389806217,0.851751293937918,1
"Mcavernosa04258",3.12240735226429,0.802226286660087,0.484811000416611,0.486251174765099,0.851751293937918,1
"Mcavernosa04259",1.57213238837389,0.459222697792167,0.162680928538024,0.686700150093498,0.851751293937918,1
"Mcavernosa04260",8.05654031994142,4.10355304737096,2.30722524464263,0.128773744443148,0.63141244645552,1
"Mcavernosa04263",2.98295147858596,0.746304612710989,0.45736984082847,0.498855753649527,0.851751293937918,1
"Mcavernosa04264",2.66607902690502,0.65766911397118,0.382760947843676,0.536129315200614,0.851751293937918,1
"Mcavernosa04265",1.28588066922102,7.95858025527175,0.977657492165664,0.32277781867909,0.851751293937918,1
"Mcavernosa04266",-1.70083797635979,4.80355596365211,0.590936332539127,0.442057272984413,0.851751293937918,1
"Mcavernosa04267",8.72944184031267,4.73527210368023,3.83215395592917,0.050278281248737,0.418992190647268,1
"Mcavernosa04270",4.69503066802149,1.50522034270772,0.538210260566415,0.463175400359175,0.851751293937918,1
"Mcavernosa04271",7.69857577819373,3.77689427705644,2.07765428662579,0.149469719449478,0.674733430641494,1
"Mcavernosa04272",-6.44526355809731,5.47933684677867,11.4166670036596,0.000727881573105028,0.0293921594925009,1
"Mcavernosa04274",2.42667269813822,0.631038856631306,0.319045619860161,0.57218175768782,0.851751293937918,1
"Mcavernosa04276",2.66607902690502,0.65766911397118,0.382760947843676,0.536129315200614,0.851751293937918,1
"Mcavernosa04278",5.75091192909555,2.17197203973889,0.949575871932861,0.329827278955406,0.851751293937918,1
"Mcavernosa04279",0,0.346692925437365,0,1,1,1
"Mcavernosa04280",3.1336311415151,0.807031059310318,0.486892909622492,0.485316589752818,0.851751293937918,1
"Mcavernosa04281",6.36016623753482,2.62918307184794,1.15010028336528,0.283528157785822,0.851751293937918,1
"Mcavernosa04282",0.257582710840336,2.90729296864168,0.00621353759875953,0.93717102679602,1,1
"Mcavernosa04283",0,0.346692925437365,0,1,1,1
"Mcavernosa04284",2.98295147858596,0.746304612710989,0.45736984082847,0.498855753649527,0.851751293937918,1
"Mcavernosa04285",3.75150724845877,1.05017365885669,0.294901711520169,0.587096385622546,0.851751293937918,1
"Mcavernosa04287",5.07135640377545,1.72754680917304,0.626660301268507,0.428582990116802,0.851751293937918,1
"Mcavernosa04288",7.04259888004897,3.19850835148828,1.79789716345102,0.179966925599106,0.73179798455267,1
"Mcavernosa04289",2.46552415188049,8.08168353813689,3.24950960703545,0.0714448301504499,0.469294218347047,1
